v,vw,o,c,h,l,t,n,timestamp
16537069.0,307.6084,309.21,307.41,309.7,306.11,1634702400000,237432,2021-10-20 04:00:00
16918100.0,309.387,307.1702,310.76,311.02,306.36,1634788800000,222078,2021-10-21 04:00:00
17449332.0,309.3104,310.4,309.16,311.09,307.8,1634875200000,244615,2021-10-22 04:00:00
17554469.0,308.1977,309.36,308.13,309.4,306.46,1635134400000,244415,2021-10-25 04:00:00
28107349.0,310.5962,311.0,310.11,312.395,308.5967,1635220800000,367536,2021-10-26 04:00:00
52587690.0,322.6143,316.0,323.17,326.0973,316.0,1635307200000,593988,2021-10-27 04:00:00
26297943.0,323.3879,324.325,324.35,324.87,321.3601,1635393600000,347710,2021-10-28 04:00:00
34765982.0,329.1131,324.13,331.62,332.0,323.9,1635480000000,381600,2021-10-29 04:00:00
26923181.0,328.4407,331.355,329.37,331.49,326.37,1635739200000,393780,2021-11-01 04:00:00
26487109.0,332.5283,330.31,333.13,333.45,330.0,1635825600000,310165,2021-11-02 04:00:00
21370082.0,332.9858,333.9,334.0,334.9,330.65,1635912000000,293957,2021-11-03 04:00:00
23892202.0,334.9213,332.89,336.44,336.54,329.51,1635998400000,328854,2021-11-04 04:00:00
22570097.0,336.4792,338.51,336.06,338.79,334.4217,1636084800000,316800,2021-11-05 04:00:00
20897001.0,336.2122,337.3,336.99,337.65,334.44,1636347600000,287657,2021-11-08 05:00:00
21307369.0,336.3103,337.1071,335.95,338.72,334.53,1636434000000,295386,2021-11-09 05:00:00
25500807.0,331.7579,334.57,330.8,334.6303,329.92,1636520400000,332397,2021-11-10 05:00:00
16649844.0,332.6575,331.25,332.43,333.7746,330.51,1636606800000,217134,2021-11-11 05:00:00
23831048.0,335.5457,333.92,336.72,337.23,333.79,1636693200000,239697,2021-11-12 05:00:00
16723009.0,335.6981,337.54,336.07,337.88,334.034,1636952400000,249217,2021-11-15 05:00:00
20886832.0,339.0523,335.68,339.51,340.67,335.51,1637038800000,255378,2021-11-16 05:00:00
18703380.0,339.8226,338.94,339.12,342.19,338.0,1637125200000,245204,2021-11-17 05:00:00
22452333.0,340.1626,338.18,341.27,342.45,337.12,1637211600000,252477,2021-11-18 05:00:00
21903403.0,343.3237,342.64,343.11,345.1,342.2,1637298000000,267653,2021-11-19 05:00:00
31031113.0,343.9656,344.62,339.83,349.67,339.55,1637557200000,407010,2021-11-22 05:00:00
30252563.0,336.5601,337.05,337.68,339.45,333.56,1637643600000,388979,2021-11-23 05:00:00
21655557.0,336.6413,336.28,337.91,338.16,333.911,1637730000000,266154,2021-11-24 05:00:00
24217241.0,332.2818,334.35,329.68,337.93,328.12,1637902800000,360133,2021-11-26 05:00:00
